iter	Passed	Remaining
0	96	96216
1	172	86248
2	236	78554
3	292	72901
4	363	72303
5	439	72777
6	578	82046
7	630	78168
8	712	78498
9	797	78981
10	872	78406
11	961	79165
12	1025	77827
13	1116	78666
14	1210	79470
15	1294	79614
16	1380	79840
17	1473	80409
18	1568	80975
19	1672	81929
20	1793	83611
21	1863	82830
22	1975	83918
23	2032	82648
24	2113	82428
25	2171	81333
26	2249	81065
27	2370	82279
28	2503	83828
29	2595	83917
30	2684	83896
31	2768	83759
32	2812	82413
33	2854	81105
34	2894	79818
35	2936	78637
36	2980	77567
37	3021	76482
38	3062	75475
39	3105	74532
40	3146	73605
41	3190	72767
42	3296	73361
43	3351	72826
44	3397	72102
45	3483	72252
46	3566	72311
47	3680	72986
48	3767	73111
49	3834	72863
50	3933	73202
51	4035	73573
52	4105	73351
53	4162	72922
54	4251	73040
55	4350	73335
56	4463	73846
57	4560	74064
58	4634	73921
59	4694	73543
60	4742	73005
61	4813	72828
62	4928	73303
63	5013	73323
64	5112	73541
65	5196	73534
66	5286	73611
67	5415	74227
68	5529	74609
69	5622	74701
70	5713	74753
71	5822	75051
72	5980	75942
73	6098	76314
74	6173	76143
75	6296	76554
76	6396	76672
77	6468	76460
78	6613	77099
79	6739	77499
80	6852	77751
81	6978	78127
82	7080	78221
83	7199	78511
84	7341	79026
85	7464	79333
86	7555	79291
87	7624	79012
88	7740	79234
89	7836	79235
90	7917	79087
91	8004	79003
92	8078	78787
93	8183	78879
94	8320	79260
95	8395	79061
96	8485	78993
97	8536	78572
98	8665	78867
99	8776	78984
100	8865	78914
101	8990	79155
102	9066	78953
103	9191	79192
104	9344	79649
105	9444	79654
106	9530	79537
107	9617	79433
108	9676	79097
109	9778	79116
110	9841	78820
111	9901	78506
112	9998	78485
113	10043	78058
114	10142	78055
115	10195	77697
116	10276	77556
117	10353	77384
118	10434	77252
119	10528	77210
120	10624	77183
121	10741	77301
122	10807	77061
123	10869	76789
124	10939	76577
125	11001	76315
126	11075	76130
127	11211	76380
128	11312	76380
129	11407	76344
130	11477	76135
131	11545	75923
132	11603	75641
133	11688	75539
134	11793	75563
135	11913	75684
136	12011	75661
137	12094	75544
138	12173	75407
139	12278	75426
140	12398	75532
141	12494	75494
142	12562	75288
143	12609	74955
144	12666	74690
145	12738	74512
146	12802	74291
147	12885	74178
148	12981	74144
149	13068	74057
150	13167	74034
151	13254	73946
152	13339	73846
153	13416	73703
154	13483	73507
155	13570	73421
156	13663	73366
157	13747	73261
158	13807	73034
159	13874	72840
160	13945	72674
161	14054	72703
162	14138	72598
163	14205	72415
164	14287	72302
165	14338	72036
166	14410	71878
167	14466	71641
168	14537	71484
169	14614	71351
170	14732	71420
171	14801	71251
172	14899	71223
173	14962	71027
174	15020	70811
175	15132	70847
176	15197	70662
177	15250	70427
178	15318	70259
179	15416	70232
180	15479	70041
181	15574	70000
182	15674	69976
183	15736	69786
184	15814	69670
185	15941	69764
186	16052	69789
187	16142	69719
188	16230	69646
189	16297	69477
190	16402	69473
191	16453	69241
192	16527	69108
193	16594	68944
194	16680	68860
195	16769	68789
196	16857	68712
197	16913	68509
198	17017	68498
199	17088	68352
200	17141	68138
201	17262	68194
202	17385	68256
203	17461	68132
204	17520	67945
205	17606	67861
206	17650	67617
207	17756	67611
208	17823	67456
209	17894	67316
210	18019	67380
211	18116	67340
212	18214	67300
213	18298	67209
214	18411	67222
215	18487	67102
216	18547	66923
217	18623	66804
218	18685	66635
219	18748	66470
220	18834	66390
221	18884	66181
222	18999	66201
223	19050	65997
224	19103	65801
225	19164	65633
226	19243	65528
227	19320	65419
228	19400	65318
229	19508	65311
230	19622	65323
231	19683	65159
232	19729	64946
233	19821	64887
234	19878	64711
235	19923	64497
236	19983	64335
237	20120	64418
238	20215	64369
239	20288	64245
240	20360	64122
241	20456	64074
242	20542	63995
243	20621	63891
244	20673	63707
245	20722	63514
246	20772	63327
247	20829	63159
248	20914	63079
249	21056	63169
250	21116	63013
251	21241	63050
252	21345	63024
253	21406	62872
254	21467	62718
255	21604	62787
256	21699	62733
257	21755	62568
258	21840	62487
259	21905	62345
260	21970	62207
261	22023	62035
262	22085	61890
263	22153	61760
264	22215	61617
265	22275	61467
266	22357	61379
267	22406	61199
268	22464	61046
269	22534	60926
270	22640	60903
271	22752	60895
272	22877	60922
273	23001	60946
274	23113	60934
275	23160	60753
276	23222	60614
277	23347	60635
278	23430	60549
279	23493	60412
280	23546	60248
281	23624	60150
282	23681	59999
283	23750	59877
