Modelo,R2,MAE,MSE,Accuracy,Recall,Precision,PnL,tipo_modelo,metrica_train,Mercado
pred_Ridge,-0.086197,5.118143,59.280109,0.558293,0.517106,0.736842,651.32,lineal,MSE,Intra1
pred_RF,-0.062033,4.994539,57.961328,0.520633,0.426582,0.73847,3676.76,arbol,MSE,Intra1
pred_CatBoost,-0.128725,5.316147,61.601106,0.48758,0.365425,0.723188,2939.64,arbol,MSE,Intra1
pred_LR_tanh,-139.860665,68.54337,7687.585323,0.651643,0.752952,0.729326,3364.56,lineal,tanh,Intra1
pred_LR_logsigmoid,-1.544861,9.267695,138.887879,0.637019,0.69785,0.739019,3018.5,lineal,logsigmoid,Intra1
pred_LR_exp_pnl,-0.751231,7.543378,95.574858,0.634816,0.707539,0.731684,2651.2,lineal,exp_pnl,Intra1
pred_CB_tanh,-2.435911,10.214164,187.517644,0.504607,0.591583,0.634828,-2930.66,arbol,tanh,Intra1
pred_CB_logsigmoid,-0.171286,4.56459,63.923865,0.53726,0.447472,0.752929,3829.74,arbol,logsigmoid,Intra1
pred_CB_exp_pnl,-0.008093,4.501513,55.017493,0.522236,0.449289,0.723902,3444.1,arbol,exp_pnl,Intra1
pred_Ridge,-7e-05,9.4571,198.803263,0.55028,0.5,0.648998,4987.42,lineal,MSE,Intra2
pred_RF,-0.031962,9.632305,205.143044,0.49379,0.327728,0.627052,6217.0,arbol,MSE,Intra2
pred_CatBoost,-0.140209,10.260274,226.661483,0.479567,0.310226,0.605898,4899.42,arbol,MSE,Intra2
pred_LR_tanh,-50.924614,81.778031,10322.063668,0.620793,0.843514,0.631065,11174.54,lineal,tanh,Intra2
pred_LR_logsigmoid,-0.130769,11.535987,224.784834,0.584135,0.638641,0.645284,8113.96,lineal,logsigmoid,Intra2
pred_LR_exp_pnl,-0.109674,11.3404,220.591372,0.580929,0.625601,0.645538,7645.52,lineal,exp_pnl,Intra2
pred_CB_tanh,-14.704791,38.328977,3121.946211,0.479768,0.641386,0.546331,-5942.78,arbol,tanh,Intra2
pred_CB_logsigmoid,-0.001921,9.11949,199.171358,0.509816,0.423816,0.616575,4754.86,arbol,logsigmoid,Intra2
pred_CB_exp_pnl,-0.456716,10.637156,289.579626,0.427885,0.041181,0.659341,-1367.22,arbol,exp_pnl,Intra2
pred_Ridge,-0.035376,9.778667,228.575038,0.483574,0.490405,0.546751,-874.48,lineal,MSE,Intra3
pred_RF,-0.121194,10.48732,247.520671,0.47516,0.178394,0.619753,333.8,arbol,MSE,Intra3
pred_CatBoost,-0.276079,11.798901,281.713919,0.466346,0.186212,0.583519,-236.0,arbol,MSE,Intra3
pred_LR_tanh,-64.219117,101.99055,14398.114368,0.546875,0.830846,0.566925,2393.18,lineal,tanh,Intra3
pred_LR_logsigmoid,-0.290655,12.877021,284.931718,0.560897,0.783227,0.582145,5055.06,lineal,logsigmoid,Intra3
pred_LR_exp_pnl,-0.22606,12.440418,270.671435,0.551683,0.751244,0.578861,4871.2,lineal,exp_pnl,Intra3
pred_CB_tanh,-0.23318,12.137476,272.24325,0.497997,0.616915,0.548673,1329.1,arbol,tanh,Intra3
pred_CB_logsigmoid,-0.301832,10.203397,287.399268,0.490785,0.220327,0.640496,-1248.36,arbol,logsigmoid,Intra3
pred_CB_exp_pnl,-0.013414,9.161685,223.72662,0.47476,0.174129,0.621827,-1202.76,arbol,exp_pnl,Intra3
